epoch,train_loss,test_loss,generalization_gap,gradient_norm,parameter_norm,effective_dimension,ntk_trace,gradient_snr
1,1.057557558104303,0.872522628391595,-0.18503492971270807,0.7811267795015524,1.4095516417826324,71.92207544126794,212.45372658731418,-1.0
5,0.9885360979486886,0.8145504898612524,-0.17398560808743613,0.6753472344379063,1.40443351277623,71.9140164877944,207.42333343648284,-1.0
10,0.9131411672933419,0.751688236675531,-0.16145293061781096,0.6572968648362758,1.4144329375519107,71.93608164051253,218.61899010502015,-1.0
15,0.8304238070038884,0.6850852653693069,-0.1453385416345815,0.7078564930326106,1.4403126446137007,71.96799519617474,246.81932419572897,-1.0
20,0.7320970725479303,0.6091750402687304,-0.12292203227919996,0.7703854291854484,1.481557625298313,71.98224307380845,291.53220416072156,-1.0
